exhibit,kind,description,output_pattern,program,status_note
Figure 12,figure,Timing histograms using corresponding shadow prices,RAs/results_in_paper/decision_histogram_pehmc_19.8_pedet_21.8_xi_1.0.png|RAs/results_in_paper/decision_histogram_pehmc_4.8_pedet_6.8_xi_1.0.png,python pysrc/scripts/conduction_hmc.py --figures histograms --xi 1,
Figure 13,figure,Agricultural area using corresponding shadow prices,RAs/results_in_paper/aggregate_percentage_Z_b0_pehmc_4.8_pedet_6.8_xi_1.0_same_ylim.png|RAs/results_in_paper/aggregate_percentage_Z_b15_pehmc_19.8_pedet_21.8_xi_1.0_same_ylim.png,python pysrc/scripts/conduction_hmc.py --figures trajectories --xi 1,
Figure 14,figure,Agricultural area under price uncertainty,RAs/results_in_paper/mpc_landallocation_b_0_baseline_same_ylim.png|RAs/results_in_paper/mpc_landallocation_b_15_baseline_same_ylim.png,python pysrc/scripts/mpc_trajectory.py,
Figure 15,figure,Deterministic discount-rate sensitivity for agricultural area,RAs/results_in_paper/pred_zshare_delta_comparison_1043_sites_det_delta_0p03.png,python pysrc/scripts/deterministic_delta_sensitivity.py,
Figure 16,figure,Smoothed hidden-state probabilities,RAs/results_in_paper/smooth_prob_con.png|RAs/results_in_paper/smooth_prob_uncon.png,python pysrc/scripts/price_estimation.py,
Figure 17,figure,Relative entropy by site,RAs/results_in_paper/re_gamma_b0.png|RAs/results_in_paper/re_gamma_b15.png|RAs/results_in_paper/re_theta_b0.png|RAs/results_in_paper/re_theta_b15.png,Rscript rsrc/analysis/map_kl.R,
Figure 18,figure,"Ambiguity-adjusted densities, xi=2",RAs/results_in_paper/gamma_distribution_929_b0_xi_2.0.png|RAs/results_in_paper/gamma_distribution_938_b15_xi_2.0.png|RAs/results_in_paper/theta_distribution_1028_b15_xi_2.0.png|RAs/results_in_paper/theta_distribution_985_b0_xi_2.0.png,python pysrc/scripts/conduction_hmc.py --figures density --xi 2,
Figure 19,figure,"Ambiguity-adjusted densities, xi=0.5",RAs/results_in_paper/gamma_distribution_929_b0_xi_0.5.png|RAs/results_in_paper/gamma_distribution_938_b15_xi_0.5.png|RAs/results_in_paper/theta_distribution_1028_b15_xi_0.5.png|RAs/results_in_paper/theta_distribution_985_b0_xi_0.5.png,python pysrc/scripts/conduction_hmc.py --figures density --xi 0.5,
Figure 20,figure,"Agricultural area evolution with ambiguity aversion, xi=1",RAs/results_in_paper/map_zDecades_1043Sites_pe19.8_hmc.png,Rscript rsrc/analysis/map_1043_hmc_xi1.R,
Figure 21,figure,"Agricultural area evolution with ambiguity aversion, xi=0.5",RAs/results_in_paper/map_zDecades_1043Sites_pe17.8_hmc.png,Rscript rsrc/analysis/map_1043_hmc_xi05.R,
Figure 22,figure,Bayesian R-squared densities,RAs/results_in_paper/bayesian_r2_gamma_1043.png|RAs/results_in_paper/bayesian_r2_theta_1043.png,python pysrc/scripts/bayesian_R2.py,
Table 1,table,Business-as-usual prices under parameter ambiguity,replication/derived/carbon_prices.csv,python pysrc/replication/derive_carbon_prices.py,"xi infinity is represented as xi=inf, not as 8"
Table 2,table,Present-value decomposition under ambiguity neutrality,output/tables/present_value_site1043_pa41.11_det.tex,python pysrc/scripts/conduction_det.py,
Table 3,table,Transfer costs under ambiguity neutrality,output/tables/transfer_cost_1043site_41.11pa_15year_det.tex|output/tables/transfer_cost_1043site_41.11pa_30year_det.tex,python pysrc/scripts/conduction_det.py,
Table 4,table,"Present-value decomposition under parameter ambiguity, xi=1",output/tables/present_value_site_ambiguity_comparison_xi_1.0.tex,python pysrc/scripts/conduction_hmc.py --tables ambiguity --xi 1,
Table 5,table,Business-as-usual prices with stochastic agricultural prices,replication/derived/carbon_prices.csv,python pysrc/replication/derive_carbon_prices.py,uses MPC shadow-price logs
Table 6,table,MPC present-value decomposition for b=0,output/mpc/day0_present_value_mpc_b0_sites78_xi_*_unconstrained.tex,python pysrc/mpc/mpc_compute_day0.py --model unconstrained --b 0 --xi all,derived from MPC day-0 optimization outputs
Table 7,table,Uncertainty-adjusted transition probabilities for b=0,replication/derived/mpc_transition_probabilities.csv,python pysrc/replication/derive_mpc_transition_probabilities.py,"derived from MPC run logs at year done: 1, not from the paper"
Table 8,table,MPC present-value decomposition for b=15,output/mpc/day0_present_value_mpc_b15_sites78_xi_*_unconstrained.tex,python pysrc/mpc/mpc_compute_day0.py --model unconstrained --b 15 --xi all,derived from MPC day-0 optimization outputs
Table 9,table,Uncertainty-adjusted transition probabilities for b=15,replication/derived/mpc_transition_probabilities.csv,python pysrc/replication/derive_mpc_transition_probabilities.py,"derived from MPC run logs at year done: 1, not from the paper"
Table 10,table,Hidden-state Markov estimates,output/tables/hmm_results_table.tex,python pysrc/scripts/price_estimation.py,
Table 11,table,Hidden-state likelihood and information criteria,output/tables/hmm_information_criteria.tex,python pysrc/scripts/price_estimation.py,
Table 12,table,Common-variance hidden-state MPC decomposition,output/mpc/day0_present_value_mpc_b*_sites78_xi_*_constrained.tex,python pysrc/mpc/mpc_compute_day0.py --model constrained --b all --xi all,derived from MPC day-0 optimization outputs
Table 13,table,Present-value decomposition under ambiguity neutrality for 78 sites,output/tables/present_value_site78_pa41.11_det.tex,python pysrc/scripts/conduction_det.py,
Table 14,table,"Transfer costs under ambiguity, 15 years",output/tables/transfer_cost_1043site_41.11pa_15year_hmc_xi_1.0.tex,python pysrc/scripts/conduction_hmc.py --tables transfer-cost --xi 1,
Table 15,table,"Transfer costs under ambiguity, 30 years",output/tables/transfer_cost_1043site_41.11pa_30year_hmc_xi_1.0.tex,python pysrc/scripts/conduction_hmc.py --tables transfer-cost --xi 1,
Table 16,table,"Present-value decomposition under parameter ambiguity, xi=2",output/tables/present_value_site_ambiguity_comparison_xi_2.0.tex,python pysrc/scripts/conduction_hmc.py --tables ambiguity --xi 2,
Table 17,table,"Present-value decomposition under parameter ambiguity, xi=0.5",output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,python pysrc/scripts/conduction_hmc.py --tables ambiguity --xi 0.5,
Table 18,table,MPC initial-period versus simulation value decomposition,output/mpc/day0_present_value_mpc_*.tex,python pysrc/mpc/mpc_compute_day0.py; python pysrc/mpc/mpc_compute.py --model unconstrained --b 0 10 15 25 --xi inf --mode baseline,initial-period rows use day-0 outputs; simulation rows use MPC simulation outputs
Table 19,table,MPC decomposition for b=10,output/mpc/day0_present_value_mpc_b10_sites78_xi_*_unconstrained.tex,python pysrc/mpc/mpc_compute_day0.py --model unconstrained --b 10 --xi all,derived from MPC day-0 optimization outputs
Table 20,table,"Representative distorted transition probabilities, b=10",replication/derived/mpc_transition_probabilities.csv,python pysrc/replication/derive_mpc_transition_probabilities.py,"derived from MPC run logs at year done: 1, not from the paper"
Table 21,table,MPC decomposition for b=25,output/mpc/day0_present_value_mpc_b25_sites78_xi_*_unconstrained.tex,python pysrc/mpc/mpc_compute_day0.py --model unconstrained --b 25 --xi all,derived from MPC day-0 optimization outputs
Table 22,table,"Representative distorted transition probabilities, b=25",replication/derived/mpc_transition_probabilities.csv,python pysrc/replication/derive_mpc_transition_probabilities.py,"derived from MPC run logs at year done: 1, not from the paper"
Table 23,table,Theta posterior quantiles,output/tables/theta_percentiles_1043.csv,python pysrc/sampling/baseline.py --sites 1043,
Table 24,table,Gamma posterior quantiles,output/tables/gamma_percentiles_1043.csv,python pysrc/sampling/baseline.py --sites 1043,
Table 25,table,Sigma posterior quantiles,output/tables/sigma_percentiles_1043.csv,python pysrc/sampling/baseline.py --sites 1043,
